example_id,split,agreement_tier,dup_group
fpb:05da9b496987d21b,train,50,fpb:05da9b496987d21b
fpb:05fd1e66dcfa0d26,test,75,fpb:05fd1e66dcfa0d26
fpb:060923672ba9fdfc,train,all,fpb:060923672ba9fdfc
fpb:0611b3a1b93ae8d8,test,75,fpb:0611b3a1b93ae8d8
fpb:06278a5ad7c4c376,train,66,fpb:06278a5ad7c4c376
fpb:0647fc7430c860a2,train,all,fpb:0647fc7430c860a2
fpb:064aa20985261d6d,train,all,fpb:064aa20985261d6d
fpb:06515cae9ba8acfb,train,75,fpb:06515cae9ba8acfb
fpb:0651c358203646c6,train,all,fpb:0651c358203646c6
fpb:065ede0bc57cd824,train,all,fpb:065ede0bc57cd824
fpb:066310d2c586da8f,train,50,fpb:066310d2c586da8f
fpb:0675dbd18f20b4ef,test,all,fpb:0675dbd18f20b4ef
fpb:0685130a54304a4d,train,75,fpb:0685130a54304a4d
fpb:0685308bdf3a44df,train,66,fpb:0685308bdf3a44df
fpb:06a9076c2c96edfc,train,75,fpb:06a9076c2c96edfc
fpb:06ad2aba029a0d07,train,all,fpb:06ad2aba029a0d07
fpb:06ae7a7433c9cdb7,train,all,fpb:06ae7a7433c9cdb7
fpb:06c6f8f5a31e1067,train,50,fpb:06c6f8f5a31e1067
fpb:06c7cf020eaabdb8,train,all,fpb:06c7cf020eaabdb8
fpb:06c96820f86611b5,dev,75,fpb:06c96820f86611b5
fpb:06e16d912f52b279,test,66,fpb:06e16d912f52b279
fpb:06eba0660c6bde18,test,50,fpb:06eba0660c6bde18
fpb:06f6501b27c00874,dev,all,fpb:06f6501b27c00874
fpb:07195e052a38c470,train,75,fpb:07195e052a38c470
fpb:071bc1dc3667b775,train,75,fpb:071bc1dc3667b775
fpb:0727c8b1ff405204,train,50,fpb:0727c8b1ff405204
fpb:072dd5638e009a6e,train,all,fpb:072dd5638e009a6e
fpb:073460cbf0caa05c,train,50,fpb:073460cbf0caa05c
fpb:0735ad7aa0908742,train,all,fpb:0735ad7aa0908742
fpb:074edc6ccead9c42,train,75,fpb:074edc6ccead9c42
fpb:07502d89c84f3f76,train,all,fpb:07502d89c84f3f76
fpb:07557f550430f8bd,train,50,fpb:07557f550430f8bd
fpb:0766c4866e410fe0,train,all,fpb:0766c4866e410fe0
fpb:076f377b699e60fd,train,all,fpb:076f377b699e60fd
fpb:077707eeb7b8af98,train,75,fpb:077707eeb7b8af98
fpb:077ac910eba449b2,train,75,fpb:077ac910eba449b2
fpb:0781e7aca6a10095,test,75,fpb:0781e7aca6a10095
fpb:07897f81010d2c86,train,50,fpb:07897f81010d2c86
fpb:07a606cac07eda08,train,75,fpb:07a606cac07eda08
fpb:07b4c0e89d06bbfb,train,75,fpb:07b4c0e89d06bbfb
fpb:07b8be73a42a0bf7,train,all,fpb:07b8be73a42a0bf7
fpb:07c706dc77c91dfc,test,all,fpb:07c706dc77c91dfc
fpb:07cee25b34cbc51a,train,all,fpb:07cee25b34cbc51a
fpb:07d6711bed1ca822,train,all,fpb:07d6711bed1ca822
fpb:07f8c1bdcc0dee81,train,66,fpb:07f8c1bdcc0dee81
fpb:07fbb826a6bdbf44,test,all,fpb:07fbb826a6bdbf44
fpb:0800e8314dbc6708,test,66,fpb:0800e8314dbc6708
fpb:08016b3982611fb8,train,75,fpb:08016b3982611fb8
fpb:0814dbec3912312a,train,75,fpb:0814dbec3912312a
fpb:0817968ea7fb65e0,train,66,fpb:0817968ea7fb65e0
fpb:081a322f360b9019,dev,75,fpb:081a322f360b9019
fpb:0826f9a8be0c1dd0,train,all,fpb:0826f9a8be0c1dd0
fpb:08290502d590263e,train,all,fpb:08290502d590263e
fpb:083bc697be733551,train,all,fpb:083bc697be733551
fpb:084c1f49bb1ada77,train,all,fpb:084c1f49bb1ada77
fpb:084ea772c8030366,test,50,fpb:084ea772c8030366
fpb:08623d1f304e6224,test,66,fpb:08623d1f304e6224
fpb:086c7e926e8ae1e6,train,50,fpb:086c7e926e8ae1e6
fpb:0872d4712b815da0,dev,66,fpb:0872d4712b815da0
fpb:089359cf2d8f08e2,train,all,fpb:089359cf2d8f08e2
fpb:08bcac4f65e24fcc,train,all,fpb:08bcac4f65e24fcc
fpb:08ea5a48ab2e835d,train,all,fpb:08ea5a48ab2e835d
fpb:0900aaa0a349da8f,train,75,fpb:0900aaa0a349da8f
fpb:09037f4adb1c2352,dev,66,fpb:09037f4adb1c2352
fpb:09084232d3b220ad,train,all,fpb:09084232d3b220ad
fpb:090de8fd4cc70b04,train,all,fpb:090de8fd4cc70b04
fpb:092b856737cf70ea,train,all,fpb:092b856737cf70ea
fpb:092ccdb60e498d2d,dev,75,fpb:092ccdb60e498d2d
fpb:09443e33a8f91103,train,50,fpb:09443e33a8f91103
fpb:095e725eb7bccd85,train,50,fpb:095e725eb7bccd85
fpb:0972582ea0ab6d67,train,75,fpb:0972582ea0ab6d67
fpb:098851dc2d8930c9,train,66,fpb:098851dc2d8930c9
fpb:099e5fc149a528b7,train,50,fpb:099e5fc149a528b7
fpb:09c43204bf4a50f4,train,all,fpb:09c43204bf4a50f4
fpb:09e4b3139dea9d60,train,all,fpb:09e4b3139dea9d60
fpb:09e8a3f775a11b67,train,66,fpb:09e8a3f775a11b67
fpb:09eb75afd1dcf1cf,dev,66,fpb:09eb75afd1dcf1cf
fpb:0a038bd390e6a3c2,dev,all,fpb:0a038bd390e6a3c2
fpb:0a07119a81b9238b,train,all,fpb:0a07119a81b9238b
fpb:0a3a5495e608f808,train,all,fpb:0a3a5495e608f808
fpb:0a42f824e25fd539,train,75,fpb:0a42f824e25fd539
fpb:0a4b06efee871795,test,66,fpb:0a4b06efee871795
fpb:0a4b8b5bcf3b3b3b,train,all,fpb:0a4b8b5bcf3b3b3b
fpb:0a4c1ec55fb68bcd,train,75,fpb:0a4c1ec55fb68bcd
fpb:0a53de1e60a710b9,train,all,fpb:0a53de1e60a710b9
fpb:0a5e88c0f0762b02,test,66,fpb:0a5e88c0f0762b02
fpb:0a64d8832eee9f87,train,all,fpb:0a64d8832eee9f87
fpb:0a9c9e7fe99fa11b,train,66,fpb:0a9c9e7fe99fa11b
fpb:0aa41e39c7268d8e,train,all,fpb:0aa41e39c7268d8e
fpb:0aa4688dfa34f9ee,train,75,fpb:0aa4688dfa34f9ee
fpb:0aa486d50f239b68,test,all,fpb:0aa486d50f239b68
fpb:0aa60460463e5d79,test,66,fpb:0aa60460463e5d79
fpb:0ac6e42c54609fb5,train,all,fpb:0ac6e42c54609fb5
fpb:0aea5e5ec4cebdf8,test,75,fpb:0aea5e5ec4cebdf8
fpb:0b05ee99afe46431,train,75,fpb:0b05ee99afe46431
fpb:0b0fced0378de2a0,train,all,fpb:0b0fced0378de2a0
fpb:0b10648fd370b55a,train,all,fpb:0b10648fd370b55a
fpb:0b3eba1646b62952,test,all,fpb:0b3eba1646b62952
fpb:0b413c1038c447c1,dev,all,fpb:0b413c1038c447c1
fpb:0b4490b903a90d8e,train,75,fpb:0b4490b903a90d8e
fpb:0b50ecf24e4ec39e,test,50,fpb:0b50ecf24e4ec39e
fpb:0b6a7061fbc218cc,train,75,fpb:0b6a7061fbc218cc
fpb:0b6f5742726267d5,train,all,fpb:0b6f5742726267d5
fpb:0b731e259e4c84b2,test,all,fpb:0b731e259e4c84b2
fpb:0b78af6d1332a8ba,train,75,fpb:0b78af6d1332a8ba
fpb:0b8a706b67fdd389,test,66,fpb:0b8a706b67fdd389
fpb:0b962b9e0626a727,train,75,fpb:0b962b9e0626a727
fpb:0ba77d0eb11f6e6f,test,50,fpb:0ba77d0eb11f6e6f
fpb:0bda416593a2993f,train,all,fpb:0bda416593a2993f
fpb:0bf8811834f96201,train,50,fpb:0bf8811834f96201
fpb:0bfb6f28848a6653,train,50,fpb:0bfb6f28848a6653
fpb:0bfc0cbd7960a8a6,train,all,fpb:0bfc0cbd7960a8a6
fpb:0c1058622728f1f8,train,all,fpb:0c1058622728f1f8
fpb:0c2743b5270864f2,train,all,fpb:0c2743b5270864f2
fpb:0c317a94c6e31d61,train,all,fpb:0c317a94c6e31d61
fpb:0c31d53b939ac869,test,75,fpb:0c31d53b939ac869
fpb:0c3738324a063db3,train,all,fpb:0c3738324a063db3
fpb:0c4dc5a92e9c7358,dev,75,fpb:0c4dc5a92e9c7358
fpb:0c6b2ab49cca0ae6,train,50,fpb:0c6b2ab49cca0ae6
fpb:0c744abdd3a349b3,train,75,fpb:0c744abdd3a349b3
fpb:0c78006b5ce7acf4,train,66,fpb:0c78006b5ce7acf4
fpb:0c7b8177d0bf92c8,train,66,fpb:0c7b8177d0bf92c8
fpb:0c7c2bd1b3c6e8c7,train,75,fpb:0c7c2bd1b3c6e8c7
fpb:0ca5e54c7b778d84,train,75,fpb:0ca5e54c7b778d84
fpb:0cbe7f1794353538,dev,75,fpb:0cbe7f1794353538
fpb:0cd5ba698e05cc36,test,75,fpb:0cd5ba698e05cc36
fpb:0cdd305f0b7bc9f3,dev,75,fpb:0cdd305f0b7bc9f3
fpb:0cfb4744e4e14308,train,all,fpb:0cfb4744e4e14308
fpb:0d0eb029eb9722ca,train,all,fpb:0d0eb029eb9722ca
fpb:0d1a02b04dcc6cf5,dev,75,fpb:0d1a02b04dcc6cf5
fpb:0d1e0d4f008b8603,train,75,fpb:0d1e0d4f008b8603
fpb:0d286b6a7378f6d7,train,75,fpb:0d286b6a7378f6d7
fpb:0d2f6bea8836e189,train,all,fpb:0d2f6bea8836e189
fpb:0d34bf26f0c1703f,train,all,fpb:0d34bf26f0c1703f
fpb:0d460d37fd4efdab,train,66,fpb:0d460d37fd4efdab
fpb:0d4fe32bc8cc0ba6,train,66,fpb:0d4fe32bc8cc0ba6
fpb:0d565e95429bd04f,train,50,fpb:0d565e95429bd04f
fpb:0d6857853950ecca,test,all,fpb:0d6857853950ecca
fpb:0d9838a59df5092a,train,75,fpb:0d9838a59df5092a
fpb:0da93acf30628c27,dev,50,fpb:0da93acf30628c27
fpb:0dad8ba994f6c348,test,all,fpb:0dad8ba994f6c348
fpb:0dca554e46ee981a,dev,all,fpb:0dca554e46ee981a
fpb:0de0efa42a37d623,train,all,fpb:0de0efa42a37d623
fpb:0de4284759a5f83e,train,75,fpb:0de4284759a5f83e
fpb:0e1599942a8e1ec7,train,50,fpb:0e1599942a8e1ec7
fpb:0e1f1fcee547d7bc,train,all,fpb:0e1f1fcee547d7bc
fpb:0e25cfb723e4b3a7,train,75,fpb:0e25cfb723e4b3a7
fpb:0e369e2ddf37320a,train,all,fpb:0e369e2ddf37320a
fpb:0e442ed5364a4a66,test,all,fpb:0e442ed5364a4a66
fpb:0e461f6b4f1b6616,test,all,fpb:0e461f6b4f1b6616
fpb:0e4f2d4da557e0e7,train,all,fpb:0e4f2d4da557e0e7
fpb:0e521539b7d2d4aa,train,66,fpb:0e521539b7d2d4aa
fpb:0e564c4bbed765d4,train,50,fpb:0e564c4bbed765d4
fpb:0e5ab4eee7db57c6,train,50,fpb:0e5ab4eee7db57c6
fpb:0e5aef5de168af80,test,50,fpb:0e5aef5de168af80
fpb:0e5b10f923bdea7d,dev,all,fpb:0e5b10f923bdea7d
fpb:0e5b1609dd95a7ad,test,75,fpb:0e5b1609dd95a7ad
fpb:0e5e3f836e3bcc90,train,all,fpb:0e5e3f836e3bcc90
fpb:0e62a4785541bb97,train,all,fpb:0e62a4785541bb97
fpb:0e69c06a41350bf0,test,75,fpb:0e69c06a41350bf0
fpb:0e827255a3be5114,train,all,fpb:0e827255a3be5114
fpb:0eb05abcdd2e12f8,dev,all,fpb:0eb05abcdd2e12f8
fpb:0ec1281619a09a93,dev,all,fpb:0ec1281619a09a93
fpb:0ec65ae589b476e2,train,75,fpb:0ec65ae589b476e2
fpb:0ec8ce1d683f01c3,train,50,fpb:0ec8ce1d683f01c3
fpb:0ed696a9023a0585,train,75,fpb:0ed696a9023a0585
fpb:0ee6f3ed05c53ea0,train,all,fpb:0ee6f3ed05c53ea0
fpb:0ee8661efe138f59,train,all,fpb:0ee8661efe138f59
fpb:0f044caaf19f7756,dev,66,fpb:0f044caaf19f7756
fpb:0f0493bdf506b2cb,train,75,fpb:0f0493bdf506b2cb
fpb:0f280483daab2c19,test,75,fpb:0f280483daab2c19
fpb:0f349b4304d6b121,test,75,fpb:0f349b4304d6b121
fpb:0f37efedc8c90b5f,train,all,fpb:0f37efedc8c90b5f
fpb:0f388419628beed5,train,all,fpb:0f388419628beed5
fpb:0f3bbb40435db04c,train,66,fpb:0f3bbb40435db04c
fpb:0f48d750a24b38d2,train,all,fpb:0f48d750a24b38d2
fpb:0f4c922a05b12887,test,all,fpb:0f4c922a05b12887
fpb:0f5f71c6f508a0d8,dev,all,fpb:0f5f71c6f508a0d8
fpb:0f6b9e988a97f50b,train,all,fpb:0f6b9e988a97f50b
fpb:0f869f8d9d789cbe,dev,75,fpb:0f869f8d9d789cbe
fpb:0f8b4b36fcb55554,test,all,fpb:0f8b4b36fcb55554
fpb:0f8d66d1fdfd485c,train,all,fpb:0f8d66d1fdfd485c
fpb:0f9d92db6bbef3f3,train,50,fpb:0f9d92db6bbef3f3
fpb:0fb97aefecdb70da,train,75,fpb:0fb97aefecdb70da
fpb:0fbb4cfe21f29279,train,all,fpb:0fbb4cfe21f29279
fpb:0fc658f9af4eabe4,test,all,fpb:0fc658f9af4eabe4
fpb:0fed02602049d9eb,train,all,fpb:0fed02602049d9eb
fpb:0ff7f054191bbb8f,test,all,fpb:0ff7f054191bbb8f
fpb:1007b0df37bc2cd2,dev,50,fpb:1007b0df37bc2cd2
fpb:100c453b75b96d2d,dev,all,fpb:100c453b75b96d2d
fpb:100fd15d55f0829e,train,all,fpb:100fd15d55f0829e
fpb:10197130bdeead34,test,50,fpb:10197130bdeead34
fpb:1027a18aca082901,dev,66,fpb:1027a18aca082901
fpb:1030c18dc03044ca,train,all,fpb:1030c18dc03044ca
fpb:105e4b8db81247d4,train,50,fpb:105e4b8db81247d4
fpb:10612014fbd7768c,train,75,fpb:10612014fbd7768c
fpb:106225dd783efde2,train,75,fpb:106225dd783efde2
fpb:106b3875e1caa113,train,all,fpb:106b3875e1caa113
fpb:1075fefd8cd7ccd3,test,all,fpb:1075fefd8cd7ccd3
fpb:107d948874800f74,train,all,fpb:107d948874800f74
fpb:108e19e5d9e65b53,train,75,fpb:108e19e5d9e65b53
fpb:10904e789566bf6e,train,all,fpb:10904e789566bf6e
fpb:1091dbeb4c8d1257,test,all,fpb:1091dbeb4c8d1257
fpb:1091dc7572b43ff0,train,all,fpb:1091dc7572b43ff0
fpb:10a93157c8b7d6c4,train,all,fpb:10a93157c8b7d6c4
fpb:10a9b3f6178c04d4,train,all,fpb:10a9b3f6178c04d4
fpb:10aa6266ecdb0e37,test,all,fpb:10aa6266ecdb0e37
fpb:10af727740ec4dc2,train,66,fpb:10af727740ec4dc2
fpb:10e4e0642f8e9f81,train,all,fpb:10e4e0642f8e9f81
fpb:10eec2bb5ceb278e,train,50,fpb:10eec2bb5ceb278e
fpb:10fc42abb17a0b0d,train,all,fpb:10fc42abb17a0b0d
fpb:111885c54b3b9eb3,train,all,fpb:111885c54b3b9eb3
fpb:11193cee104707ab,dev,all,fpb:11193cee104707ab
fpb:1124d14311c9eeb2,train,all,fpb:1124d14311c9eeb2
fpb:112711661107ddb0,train,50,fpb:112711661107ddb0
fpb:112f86289b25c52f,train,50,fpb:112f86289b25c52f
fpb:11334492372a214e,test,75,fpb:11334492372a214e
fpb:114a09da0ee3a3cd,dev,66,fpb:114a09da0ee3a3cd
fpb:115b9eac99de6e98,train,66,fpb:115b9eac99de6e98
fpb:1165d6454a212724,test,all,fpb:1165d6454a212724
fpb:11702b6603182172,train,all,fpb:11702b6603182172
fpb:1170c65603660353,dev,50,fpb:1170c65603660353
fpb:1178a53a6e34b09e,train,50,fpb:1178a53a6e34b09e
fpb:117c06a5d22169e4,test,75,fpb:117c06a5d22169e4
fpb:11925573d70572ef,dev,50,fpb:11925573d70572ef
fpb:119430bc67d2b576,train,66,fpb:119430bc67d2b576
fpb:1198ca4333bfefbe,train,all,fpb:1198ca4333bfefbe
fpb:119ad0f390d277ca,train,75,fpb:119ad0f390d277ca
fpb:119b62ebddd8a40a,train,all,fpb:119b62ebddd8a40a
fpb:11a39b8c7bbd7e41,train,75,fpb:11a39b8c7bbd7e41
fpb:11b243a0c155a91b,train,all,fpb:11b243a0c155a91b
fpb:11ba3fb6f44cbe2e,train,75,fpb:11ba3fb6f44cbe2e
fpb:11be361c2f5a20bc,test,all,fpb:11be361c2f5a20bc
fpb:11ce4ac6bbfed0d8,train,all,fpb:11ce4ac6bbfed0d8
fpb:11d58489fbace258,test,66,fpb:11d58489fbace258
fpb:11d5a13efc9dfd84,train,66,fpb:11d5a13efc9dfd84
fpb:11ee40f8d9ed4386,test,75,fpb:11ee40f8d9ed4386
fpb:11f1bcb37f0f8155,train,all,fpb:11f1bcb37f0f8155
fpb:11f98c19d7f9be62,train,all,fpb:11f98c19d7f9be62
fpb:11fdf3ab45c4ee0e,test,75,fpb:11fdf3ab45c4ee0e
fpb:1201b8ae2b48bafa,train,all,fpb:1201b8ae2b48bafa
fpb:1207ba40deea5ba8,test,all,fpb:1207ba40deea5ba8
fpb:1208e7346c7c393e,train,all,fpb:1208e7346c7c393e
fpb:121014d3477b20b9,train,66,fpb:121014d3477b20b9
fpb:12246a903eea3e5b,train,66,fpb:12246a903eea3e5b
fpb:12281b574c2847dd,train,75,fpb:12281b574c2847dd
fpb:123a0afe529be96a,test,75,fpb:123a0afe529be96a
fpb:123f51fc3df8eba1,train,50,fpb:123f51fc3df8eba1
fpb:12438008f5927973,test,50,fpb:12438008f5927973
fpb:124d6f89df8edde8,train,66,fpb:124d6f89df8edde8
fpb:126aff2f8dc0d68c,test,75,fpb:126aff2f8dc0d68c
fpb:126e9bbf8ba684e0,train,75,fpb:126e9bbf8ba684e0
fpb:12819cba9782e0b8,train,all,fpb:12819cba9782e0b8
fpb:128302fbfb7ba196,test,all,fpb:128302fbfb7ba196
fpb:128c851db31d99d9,train,75,fpb:128c851db31d99d9
fpb:1291eda9eba812bb,train,75,fpb:1291eda9eba812bb
fpb:12afce49fe1d703c,train,50,fpb:12afce49fe1d703c
fpb:12b80196fd4ae138,test,all,fpb:12b80196fd4ae138
fpb:12bafe73eb9efb16,train,66,fpb:12bafe73eb9efb16
fpb:12be3af2283f132c,train,all,fpb:12be3af2283f132c
fpb:12c3f013645ba5e9,train,all,fpb:12c3f013645ba5e9
fpb:12cf8fa717a6335a,dev,all,fpb:12cf8fa717a6335a
fpb:12d5cff60b560f45,dev,all,fpb:12d5cff60b560f45
fpb:12ee3377ff90f0f8,train,66,fpb:12ee3377ff90f0f8
fpb:131184b5b14b08c8,train,75,fpb:131184b5b14b08c8
fpb:13241fde832d0f66,dev,75,fpb:13241fde832d0f66
fpb:1325127ba63273bc,dev,all,fpb:1325127ba63273bc
fpb:132b3ef4ff0c448b,test,50,fpb:132b3ef4ff0c448b
fpb:1339f0fd7ea7bb83,dev,50,fpb:1339f0fd7ea7bb83
fpb:133a4055c5117eb6,test,all,fpb:133a4055c5117eb6
fpb:1343f6a6d3b89e52,train,all,fpb:1343f6a6d3b89e52
fpb:1346d8b3c5ca96f8,dev,75,fpb:1346d8b3c5ca96f8
fpb:135168c4e0ec2513,test,75,fpb:135168c4e0ec2513
fpb:136c3670aebf5670,train,all,fpb:136c3670aebf5670
fpb:136e32e99c8d5b9c,dev,all,fpb:136e32e99c8d5b9c
fpb:138b98430a0c779e,train,50,fpb:138b98430a0c779e
fpb:138c126dc70c6f61,train,75,fpb:138c126dc70c6f61
fpb:138ed8e43092713b,train,50,fpb:138ed8e43092713b
fpb:139bb95d625fbb8d,test,all,fpb:139bb95d625fbb8d
fpb:139c076595b2710f,train,75,fpb:139c076595b2710f
fpb:139dfb24965a6d59,train,all,fpb:139dfb24965a6d59
fpb:139f37b0d727decd,train,all,fpb:139f37b0d727decd
fpb:13a5d70c73dc3c0e,train,75,fpb:13a5d70c73dc3c0e
fpb:13a64a92e6769dfb,train,75,fpb:13a64a92e6769dfb
fpb:13b24653403fd66b,test,all,fpb:13b24653403fd66b
fpb:13b5d2c8960290e3,dev,all,fpb:13b5d2c8960290e3
fpb:13d918a47a4e4a01,test,66,fpb:13d918a47a4e4a01
fpb:13e41dad23c41a93,train,66,fpb:13e41dad23c41a93
fpb:13e8e50db55f48df,train,66,fpb:13e8e50db55f48df
fpb:13fb1362e57ed96e,test,50,fpb:13fb1362e57ed96e
fpb:13fc7ade94a062fe,train,75,fpb:13fc7ade94a062fe
fpb:14131df589caf3f9,test,all,fpb:14131df589caf3f9
fpb:14366e96ccf6d305,train,all,fpb:14366e96ccf6d305
fpb:1437d44e166f667f,test,50,fpb:1437d44e166f667f
fpb:143d4c443e46b841,test,75,fpb:143d4c443e46b841
fpb:1449a8a416c228c5,train,all,fpb:1449a8a416c228c5
fpb:144c4b6c538a112c,dev,all,fpb:144c4b6c538a112c
fpb:145ea7e0372a484d,train,75,fpb:145ea7e0372a484d
fpb:146dbc4ca3f07161,dev,66,fpb:146dbc4ca3f07161
fpb:146e505a481bd777,test,75,fpb:146e505a481bd777
fpb:147ac6a303f6652f,test,75,fpb:147ac6a303f6652f
fpb:147e4eba70b22588,train,all,fpb:147e4eba70b22588
fpb:1485eabfa0be944c,train,all,fpb:1485eabfa0be944c
fpb:148703baafb59831,train,75,fpb:148703baafb59831
fpb:14a871d9e2a22c61,dev,50,fpb:14a871d9e2a22c61
fpb:14b027606db5bc27,train,all,fpb:14b027606db5bc27
fpb:14bd1178f9166656,train,66,fpb:14bd1178f9166656
fpb:14c38bdbb4fbe320,dev,66,fpb:14c38bdbb4fbe320
fpb:14d9ee6e3f3fdda5,train,50,fpb:14d9ee6e3f3fdda5
